n,mae_old,mae_old_std,mae_mixed,mae_mixed_std
100,6.745592949092105,0.8197228262436079,5.182169084644609,0.5262105818700192
250,6.596959059748701,0.2666470355314145,4.987584030438024,0.24096626781648667
500,6.724445430346451,0.48079146269764045,5.113787836905546,0.22999485083169577
1000,6.604002401613807,0.4058450843535472,4.84843769756159,0.2535882257175884
2000,6.535446551989557,0.16006210682477803,4.860936204867592,0.1792100214011435
3000,6.544664708302809,0.11206731503616128,4.633949872714441,0.11185148311746776
5000,6.45828354575997,0.09272549294810416,4.647808659918311,0.09772329524335963
10000,6.487478182477605,0.11673951031712894,4.630591449884295,0.06229868232237279
15000,6.488140178568374,0.03653111703654028,4.599263688389906,0.0314255227405219
