Year,N_devices,Cumulative_devices,Absorber_new,Absorber_cumulative,HTL_new,HTL_cumulative,ETL_new,ETL_cumulative
2012,19,19,2,2,3,3,4,4
2013,226,245,3,5,17,20,14,18
2014,1543,1788,13,18,84,104,50,68
2015,3532,5320,16,34,130,234,76,144
2016,6211,11531,48,82,252,486,161,305
2017,8028,19559,56,138,311,797,167,472
2018,10621,30180,92,230,433,1230,193,665
2019,10635,40815,126,356,424,1654,242,907
2020,1927,42742,61,417,108,1762,61,968
2021,951,43693,44,461,118,1880,49,1017
2022,1172,44865,27,488,75,1955,55,1072
2023,1271,46136,37,525,120,2075,82,1154
2024,1572,47708,40,565,122,2197,106,1260
2025,657,48365,11,576,76,2273,40,1300
